timestamp,tp_size,batch_size,prompt_tokens,output_tokens,ttft_mean_ms,tpot_mean_ms,req_throughput,out_throughput
2026-08-04T08:42:51.685922,2,8,128,1,300.78,0,23.89,23.89
2026-08-04T08:43:19.044754,2,8,128,128,6515.03,57.05,0.58,74.33
2026-08-04T08:43:33.295929,2,8,512,1,646.07,0,10.96,10.96
2026-08-04T08:43:53.212305,2,8,512,128,161.77,48.88,1.25,160.56
2026-08-04T08:44:07.721071,2,8,1024,1,771.18,0,7.71,7.71
2026-08-04T08:44:27.775360,2,8,1024,128,201.8,49.58,1.23,157.06
2026-08-04T08:44:43.649118,2,8,2048,1,1107.74,0,4.19,4.19
2026-08-04T08:45:03.998380,2,8,2048,128,262.42,51.03,1.18,151.51
2026-08-04T08:45:17.780362,2,8,4096,1,0,0,0,0
2026-08-04T08:45:31.662833,2,8,4096,128,0,0,0,0
2026-08-04T08:45:45.716949,2,16,128,1,500.74,0,30.07,30.07
2026-08-04T08:46:05.759034,2,16,128,128,233,50.07,2.42,310.19
2026-08-04T08:46:20.650363,2,16,512,1,949.36,0,11.81,11.81
2026-08-04T08:46:41.074868,2,16,512,128,277.52,51.24,2.35,301.16
2026-08-04T08:46:56.656041,2,16,1024,1,954.67,0,8.22,8.22
2026-08-04T08:47:17.294840,2,16,1024,128,304.31,52.56,2.29,292.85
2026-08-04T08:47:34.872761,2,16,2048,1,1560.04,0,4.32,4.32
2026-08-04T08:47:56.034410,2,16,2048,128,380.52,55.43,2.15,275.17
2026-08-04T08:48:10.282265,2,16,4096,1,0,0,0,0
2026-08-04T08:48:24.469675,2,16,4096,128,0,0,0,0
2026-08-04T08:48:39.102346,2,32,128,1,936.39,0,29.36,29.36
2026-08-04T08:49:01.010286,2,32,128,128,389.53,63.27,3.79,485.65
2026-08-04T08:49:17.445377,2,32,512,1,1472.68,0,11.28,11.28
2026-08-04T08:49:39.785039,2,32,512,128,451.52,65.2,3.66,468.35
2026-08-04T08:49:57.327187,2,32,1024,1,1613.5,0,8.45,8.45
2026-08-04T08:50:20.205783,2,32,1024,128,521.9,68.29,3.48,444.8
2026-08-04T08:50:41.458796,2,32,2048,1,2869.54,0,4.36,4.36
2026-08-04T08:51:06.971421,2,32,2048,128,488.41,76.49,2.77,355.11
2026-08-04T08:51:21.928573,2,32,4096,1,0,0,0,0
2026-08-04T08:51:36.877797,2,32,4096,128,0,0,0,0
2026-08-04T08:52:58.653256,4,1,128,1,182.26,0,5.46,5.46
2026-08-04T08:53:15.401257,4,1,128,128,47.86,25.99,0.3,38.22
2026-08-04T08:53:28.938440,4,1,512,1,134.64,0,7.41,7.41
2026-08-04T08:53:45.668414,4,1,512,128,50.48,25.99,0.3,38.2
2026-08-04T08:53:59.196837,4,1,1024,1,178.83,0,5.58,5.58
2026-08-04T08:54:16.673819,4,1,1024,128,54.43,26.05,0.3,38.05
2026-08-04T08:54:30.481315,4,1,2048,1,345.47,0,2.89,2.89
2026-08-04T08:54:47.263464,4,1,2048,128,66.63,26.14,0.3,37.8
2026-08-04T08:55:00.717222,4,1,4096,1,0,0,0,0
2026-08-04T08:55:14.182274,4,1,4096,128,0,0,0,0
2026-08-04T08:55:27.851501,4,2,128,1,79.72,0,18.6,18.6
2026-08-04T08:55:44.871682,4,2,128,128,72.15,27.65,0.56,71.15
2026-08-04T08:55:58.474212,4,2,512,1,113.18,0,11.69,11.69
2026-08-04T08:56:15.372015,4,2,512,128,61.9,27.61,0.56,71.74
2026-08-04T08:56:29.012527,4,2,1024,1,139.88,0,9.12,9.12
2026-08-04T08:56:46.056895,4,2,1024,128,92.13,27.63,0.55,70.56
2026-08-04T08:56:59.810420,4,2,2048,1,219.62,0,5.43,5.43
2026-08-04T08:57:16.880347,4,2,2048,128,91.12,27.78,0.55,70.45
2026-08-04T08:57:30.431880,4,2,4096,1,0,0,0,0
2026-08-04T08:57:43.878624,4,2,4096,128,0,0,0,0
2026-08-04T08:57:57.503083,4,4,128,1,137.39,0,24.3,24.3
2026-08-04T08:58:15.262625,4,4,128,128,101.7,27.73,1.1,140.75
2026-08-04T08:58:29.080257,4,4,512,1,247.95,0,12.87,12.87
2026-08-04T08:58:46.139648,4,4,512,128,101.23,27.82,1.09,140.05
2026-08-04T08:58:59.963312,4,4,1024,1,344.26,0,11.58,11.58
2026-08-04T08:59:17.145518,4,4,1024,128,93.55,27.95,1.09,139.72
2026-08-04T08:59:31.362777,4,4,2048,1,526.67,0,5.76,5.76
2026-08-04T08:59:48.582639,4,4,2048,128,116.87,28.29,1.08,137.68
2026-08-04T09:00:02.136725,4,4,4096,1,0,0,0,0
2026-08-04T09:00:16.077300,4,4,4096,128,0,0,0,0
2026-08-04T09:00:29.835720,4,8,128,1,212.7,0,33.91,33.91
2026-08-04T09:00:47.532028,4,8,128,128,124.27,28.48,2.13,273
2026-08-04T09:01:01.504758,4,8,512,1,452.31,0,15.66,15.66
2026-08-04T09:01:18.764888,4,8,512,128,145.97,28.7,2.1,269.17
2026-08-04T09:01:32.956993,4,8,1024,1,520.32,0,11.44,11.44
2026-08-04T09:01:50.358901,4,8,1024,128,162.78,29.11,2.07,264.34
2026-08-04T09:02:05.132078,4,8,2048,1,570.77,0,6.13,6.13
2026-08-04T09:02:22.610071,4,8,2048,128,154.85,29.91,2.01,257.86
2026-08-04T09:02:36.371440,4,8,4096,1,0,0,0,0
2026-08-04T09:02:50.134766,4,8,4096,128,0,0,0,0
2026-08-04T09:03:03.984611,4,16,128,1,368.38,0,40.79,40.79
2026-08-04T09:03:21.424523,4,16,128,128,166.6,30.62,3.94,504.07
2026-08-04T09:03:35.763111,4,16,512,1,652.96,0,17.14,17.14
2026-08-04T09:03:53.365780,4,16,512,128,170.34,31.17,3.87,495.11
2026-08-04T09:04:08.231206,4,16,1024,1,662.98,0,11.89,11.89
2026-08-04T09:04:26.097696,4,16,1024,128,233.88,31.86,3.73,477.22
2026-08-04T09:04:42.294528,4,16,2048,1,1182.63,0,6.18,6.18
2026-08-04T09:05:00.391326,4,16,2048,128,228.71,33.46,3.54,453.15
2026-08-04T09:05:14.571676,4,16,4096,1,0,0,0,0
2026-08-04T09:05:28.771144,4,16,4096,128,0,0,0,0
2026-08-04T09:05:43.085243,4,32,128,1,636,0,39.54,39.54
2026-08-04T09:06:02.008219,4,32,128,128,306.63,39.77,5.96,763.31
2026-08-04T09:06:17.564441,4,32,512,1,958.76,0,16.27,16.27
2026-08-04T09:06:36.650707,4,32,512,128,363.52,40.74,5.77,738.29
2026-08-04T09:06:52.931607,4,32,1024,1,1193.23,0,12.16,12.16
2026-08-04T09:07:12.361300,4,32,1024,128,317.07,42.42,5.56,711.83
2026-08-04T09:07:31.352165,4,32,2048,1,1932.16,0,6.32,6.32
2026-08-04T09:07:51.538466,4,32,2048,128,548.65,44.76,5.11,654.72
2026-08-04T09:08:06.565052,4,32,4096,1,0,0,0,0
2026-08-04T09:08:21.478179,4,32,4096,128,0,0,0,0
2026-08-04T09:10:20.191682,8,1,128,1,527.11,0,1.89,1.89
2026-08-04T09:10:36.250349,8,1,128,128,37.09,20.31,0.38,48.89
2026-08-04T09:10:49.772575,8,1,512,1,115.11,0,8.65,8.65
2026-08-04T09:11:05.460417,8,1,512,128,41.65,17.62,0.44,56.14
2026-08-04T09:11:19.041767,8,1,1024,1,145.5,0,6.84,6.84
2026-08-04T09:11:34.716406,8,1,1024,128,46.14,17.64,0.44,55.97
2026-08-04T09:11:48.405989,8,1,2048,1,267.87,0,3.72,3.72
2026-08-04T09:12:04.120958,8,1,2048,128,55.72,17.67,0.43,55.65
2026-08-04T09:12:17.594217,8,1,4096,1,0,0,0,0
2026-08-04T09:12:31.052883,8,1,4096,128,0,0,0,0
2026-08-04T09:12:45.110937,8,2,128,1,67.37,0,21.94,21.94
2026-08-04T09:13:01.072532,8,2,128,128,127.16,19.23,0.77,98.95
2026-08-04T09:13:14.643999,8,2,512,1,94.82,0,14.1,14.1
2026-08-04T09:13:30.553268,8,2,512,128,58.41,18.76,0.82,104.45
2026-08-04T09:13:44.168105,8,2,1024,1,111.95,0,11.63,11.63
2026-08-04T09:14:00.053949,8,2,1024,128,63.89,18.76,0.81,104.26
2026-08-04T09:14:13.832220,8,2,2048,1,185.39,0,6.56,6.56
2026-08-04T09:14:29.704326,8,2,2048,128,75.27,18.83,0.81,103.37
2026-08-04T09:14:43.192500,8,2,4096,1,0,0,0,0
2026-08-04T09:14:56.704726,8,2,4096,128,0,0,0,0
2026-08-04T09:15:10.277426,8,4,128,1,106.46,0,30.95,30.95
2026-08-04T09:15:26.321779,8,4,128,128,78.7,19.34,1.57,201.46
2026-08-04T09:15:40.088223,8,4,512,1,194.1,0,16.53,16.53
2026-08-04T09:15:56.111449,8,4,512,128,83.07,19.37,1.57,200.79
2026-08-04T09:16:09.862396,8,4,1024,1,185.96,0,12.94,12.94
2026-08-04T09:16:26.119004,8,4,1024,128,103.53,19.47,1.54,197.52
2026-08-04T09:16:40.224738,8,4,2048,1,417.42,0,7.31,7.31
2026-08-04T09:16:56.269446,8,4,2048,128,110.16,19.57,1.54,196.79
2026-08-04T09:17:09.867099,8,4,4096,1,0,0,0,0
2026-08-04T09:17:23.487237,8,4,4096,128,0,0,0,0
2026-08-04T09:17:37.158688,8,8,128,1,165.06,0,39.3,39.3
2026-08-04T09:18:00.983059,8,8,128,128,101.19,81.12,0.77,98.36
2026-08-04T09:18:14.857649,8,8,512,1,324.59,0,19.27,19.27
2026-08-04T09:18:30.932842,8,8,512,128,119.29,19.63,3.05,390.19
2026-08-04T09:18:45.044465,8,8,1024,1,383.09,0,14.02,14.02
2026-08-04T09:19:01.197506,8,8,1024,128,116.24,19.7,3.04,389.5
2026-08-04T09:19:15.835879,8,8,2048,1,592.18,0,7.92,7.92
2026-08-04T09:19:32.015441,8,8,2048,128,151.59,20.05,2.95,377.49
2026-08-04T09:19:45.829812,8,8,4096,1,0,0,0,0
2026-08-04T09:19:59.676699,8,8,4096,128,0,0,0,0
2026-08-04T09:20:13.493214,8,16,128,1,295.2,0,50.78,50.78
2026-08-04T09:20:29.920213,8,16,128,128,137.52,22.03,5.44,696.52
2026-08-04T09:20:44.187258,8,16,512,1,505.6,0,20.27,20.27
2026-08-04T09:21:00.711214,8,16,512,128,148.81,22.18,5.36,686.41
2026-08-04T09:21:15.354000,8,16,1024,1,535,0,15.06,15.06
2026-08-04T09:21:32.072003,8,16,1024,128,181.7,22.64,5.2,665.24
2026-08-04T09:21:47.791534,8,16,2048,1,968.26,0,7.88,7.88
2026-08-04T09:22:04.715071,8,16,2048,128,260.89,23.25,4.96,634.52
2026-08-04T09:22:18.847020,8,16,4096,1,0,0,0,0
2026-08-04T09:22:32.910291,8,16,4096,128,0,0,0,0
2026-08-04T09:22:46.962598,8,32,128,1,475.81,0,51.16,51.16
2026-08-04T09:23:04.492129,8,32,128,128,242.97,29.77,7.92,1013.35
2026-08-04T09:23:19.709050,8,32,512,1,748.63,0,20.62,20.62
2026-08-04T09:23:37.449837,8,32,512,128,301.43,30.51,7.64,977.76
2026-08-04T09:23:53.316427,8,32,1024,1,982.96,0,15.28,15.28
2026-08-04T09:24:11.522977,8,32,1024,128,358.24,31.24,7.37,943.32
2026-08-04T09:24:29.346425,8,32,2048,1,1355.46,0,8.27,8.27
2026-08-04T09:24:47.995502,8,32,2048,128,474.93,32.79,6.85,876.77
2026-08-04T09:25:02.914259,8,32,4096,1,0,0,0,0
2026-08-04T09:25:17.875044,8,32,4096,128,0,0,0,0
